====================================================================================================
EMIT family-B CERTIFICATE   target a >= 0.8344
  witness: 1024-gon disk, 1024 arc points per curved core
  arc sagitta 4.706e-06  ->  deficit <= 1.600e-05
  search threshold = 0.834416002117   (5-D ceiling is 0.834781)
  4,194,304 seeds (depth 22), hmin 1e-05
====================================================================================================
    1,960,000/4,194,304 seeds       78,522,718 nodes   [ 104.4 min,    12,536 nodes/s]
    1,980,000/4,194,304 seeds       93,433,574 nodes   [ 118.5 min,    13,144 nodes/s]
    2,000,000/4,194,304 seeds       93,453,574 nodes   [ 118.6 min,    13,129 nodes/s]
    2,020,000/4,194,304 seeds       93,473,574 nodes   [ 118.8 min,    13,114 nodes/s]
    2,040,000/4,194,304 seeds       93,493,574 nodes   [ 118.9 min,    13,100 nodes/s]
    2,060,000/4,194,304 seeds       93,513,574 nodes   [ 119.1 min,    13,086 nodes/s]
    2,080,000/4,194,304 seeds       93,533,574 nodes   [ 119.3 min,    13,072 nodes/s]
    2,100,000/4,194,304 seeds       93,553,574 nodes   [ 119.4 min,    13,058 nodes/s]
    2,120,000/4,194,304 seeds       93,573,574 nodes   [ 119.6 min,    13,043 nodes/s]
    2,140,000/4,194,304 seeds       93,593,574 nodes   [ 119.7 min,    13,029 nodes/s]
    2,160,000/4,194,304 seeds       93,613,574 nodes   [ 119.9 min,    13,014 nodes/s]
    2,180,000/4,194,304 seeds       93,633,574 nodes   [ 120.0 min,    13,001 nodes/s]
    2,200,000/4,194,304 seeds       93,653,574 nodes   [ 120.2 min,    12,986 nodes/s]
    2,220,000/4,194,304 seeds      128,631,920 nodes   [ 135.4 min,    15,835 nodes/s]
    2,240,000/4,194,304 seeds      131,580,648 nodes   [ 139.8 min,    15,692 nodes/s]
    2,260,000/4,194,304 seeds      131,600,648 nodes   [ 139.9 min,    15,677 nodes/s]
    2,280,000/4,194,304 seeds      131,620,648 nodes   [ 140.1 min,    15,661 nodes/s]
    2,300,000/4,194,304 seeds      131,640,648 nodes   [ 140.2 min,    15,645 nodes/s]
    2,320,000/4,194,304 seeds      131,660,648 nodes   [ 140.4 min,    15,629 nodes/s]
    2,340,000/4,194,304 seeds      131,680,648 nodes   [ 140.6 min,    15,614 nodes/s]
    2,360,000/4,194,304 seeds      131,700,648 nodes   [ 140.7 min,    15,596 nodes/s]
    2,380,000/4,194,304 seeds      131,720,648 nodes   [ 140.9 min,    15,581 nodes/s]
